PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32626156","Slaughter of animals: poultry","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Depner K, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Miranda Chueca MÁ, Roberts HC, Sihvonen LH, Spoolder H, Stahl K, Velarde Calvo A, Viltrop A, Winckler C, Candiani D, Fabris C, Van der Stede Y, Michel V.","EFSA J. 2019 Nov 13;17(11):e05849. doi: 10.2903/j.efsa.2019.5849. eCollection 2019 Nov.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2019","2020/07/07","PMC7008870","","10.2903/j.efsa.2019.5849"
"36092764","Welfare of small ruminants during transport","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Michel V, Miranda Chueca MÁ, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Winckler C, Earley B, Edwards S, Faucitano L, Marti S, Miranda de La Lama GC, Nanni Costa L, Thomsen PT, Ashe S, Mur L, Van der Stede Y, Herskin M.","EFSA J. 2022 Sep 7;20(9):e07404. doi: 10.2903/j.efsa.2022.7404. eCollection 2022 Sep.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2022","2022/09/12","PMC9449987","","10.2903/j.efsa.2022.7404"
"32626470","Livestock, food chain and public health risk assessment","Animal and Plant Health Agency (APHA), Biomathematics and Risk Research workgroup, United Kingdom; Smeu I, Taylor RA.","EFSA J. 2019 Sep 17;17(Suppl 2):e170912. doi: 10.2903/j.efsa.2019.e170912. eCollection 2019 Sep.","Animal and Plant Health Agency (APHA), Biomathematics and Risk Research workgroup, United Kingdom","EFSA J","2019","2020/07/07","PMC7015485","","10.2903/j.efsa.2019.e170912"
"33163113","Welfare of cattle at slaughter","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Depner K, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Schmidt CG, Michel V, Miranda Chueca MÁ, Roberts HC, Sihvonen LH, Spoolder H, Stahl K, Velarde A, Viltrop A, Candiani D, Van der Stede Y, Winckler C.","EFSA J. 2020 Nov 3;18(11):e06275. doi: 10.2903/j.efsa.2020.6275. eCollection 2020 Nov.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2020","2020/11/09","PMC7607414","","10.2903/j.efsa.2020.6275"
"32874326","Welfare of pigs at slaughter","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Depner K, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Michel V, Miranda Chueca MÁ, Roberts HC, Sihvonen LH, Spoolder H, Stahl K, Viltrop A, Winckler C, Candiani D, Fabris C, Van der Stede Y, Velarde A.","EFSA J. 2020 Jun 17;18(6):e06148. doi: 10.2903/j.efsa.2020.6148. eCollection 2020 Jun.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2020","2020/09/03","PMC7447914","","10.2903/j.efsa.2020.6148"
"36824680","Welfare of broilers on farm","EFSA AHAW Panel (EFSA Panel on Animal Health and Welfare); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Schmidt CG, Herskin MS, Miranda Chueca MÁ, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Winckler C, Tiemann I, de Jong I, Gebhardt-Henrich SG, Keeling L, Riber AB, Ashe S, Candiani D, García Matas R, Hempen M, Mosbach-Schulz O, Rojo Gimeno C, Van der Stede Y, Vitali M, Bailly-Caumette E, Michel V.","EFSA J. 2023 Feb 21;21(2):e07788. doi: 10.2903/j.efsa.2023.7788. eCollection 2023 Feb.","EFSA AHAW Panel (EFSA Panel on Animal Health and Welfare)","EFSA J","2023","2023/02/24","PMC9941850","","10.2903/j.efsa.2023.7788"
"32626497","Health and welfare of rabbits farmed in different production systems","EFSA Panel on Animal Health and Welfare (AHAW); Saxmose Nielsen S, Alvarez J, Bicout DJ, Calistri P, Depner K, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Michel V, Miranda Chueca MÁ, Roberts HC, Sihvonen LH, Spoolder H, Stahl K, Velarde Calvo A, Viltrop A, Buijs S, Edwards S, Candiani D, Mosbach-Schulz O, Van der Stede Y, Winckler C.","EFSA J. 2020 Jan 9;18(1):e05944. doi: 10.2903/j.efsa.2020.5944. eCollection 2020 Jan.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2020","2020/07/07","PMC7008839","","10.2903/j.efsa.2020.5944"
"32626062","Livestock Health and Food Chain Risk Assessment","Animal and Plant Health Agency, United Kingdom; Condoleo R, Gale P, Adkin A, Roberts H, Simons R.","EFSA J. 2018 Aug 27;16(Suppl 1):e160812. doi: 10.2903/j.efsa.2018.e160812. eCollection 2018 Aug.","Animal and Plant Health Agency, United Kingdom","EFSA J","2018","2020/07/07","PMC7015502","","10.2903/j.efsa.2018.e160812"
"38089471","The European Union One Health 2022 Zoonoses Report","European Food Safety Authority (EFSA); European Centre for Disease Prevention and Control (ECDC).","EFSA J. 2023 Dec 12;21(12):e8442. doi: 10.2903/j.efsa.2023.8442. eCollection 2023 Dec.","European Food Safety Authority (EFSA)","EFSA J","2023","2023/12/13","PMC10714251","","10.2903/j.efsa.2023.8442"
"32625259","EMA and EFSA Joint Scientific Opinion on measures to reduce the need to use antimicrobial agents in animal husbandry in the European Union, and the resulting impacts on food safety (RONAFA)","EMA Committee for Medicinal Products for Veterinary Use (CVMP) and EFSA Panel on Biological Hazards (BIOHAZ); Murphy D, Ricci A, Auce Z, Beechinor JG, Bergendahl H, Breathnach R, Bureš J, Duarte Da Silva JP, Hederová J, Hekman P, Ibrahim C, Kozhuharov E, Kulcsár G, Lander Persson E, Lenhardsson JM, Mačiulskis P, Malemis I, Markus-Cizelj L, Michaelidou-Patsia A, Nevalainen M, Pasquali P, Rouby JC, Schefferlie J, Schlumbohm W, Schmit M, Spiteri S, Srčič S, Taban L, Tiirats T, Urbain B, Vestergaard EM, Wachnik-Święcicka A, Weeks J, Zemann B, Allende A, Bolton D, Chemaly M, Fernandez Escamez PS, Girones R, Herman L, Koutsoumanis K, Lindqvist R, Nørrung B, Robertson L, Ru G, Sanaa M, Simmons M, Skandamis P, Snary E, Speybroeck N, Ter Kuile B, Wahlström H, Baptiste K, Catry B, Cocconcelli PS, Davies R, Ducrot C, Friis C, Jungersen G, More S, Muñoz Madero C, Sanders P, Bos M, Kunsagi Z, Torren Edo J, Brozzi R, Candiani D, Guerra B, Liebana E, Stella P, Threlfall J, Jukes H.","EFSA J. 2017 Jan 24;15(1):e04666. doi: 10.2903/j.efsa.2017.4666. eCollection 2017 Jan.","EMA Committee for Medicinal Products for Veterinary Use (CVMP) and EFSA Panel on Biological Hazards (BIOHAZ)","EFSA J","2017","2020/07/07","PMC7010070","","10.2903/j.efsa.2017.4666"
"32625822","Risks to human and animal health related to the presence of moniliformin in food and feed","EFSA Panel on Contaminants in the Food Chain (CONTAM); Knutsen HK, Alexander J, Barregård L, Bignami M, Brüschweiler B, Ceccatelli S, Cottrill B, Dinovi M, Grasl-Kraupp B, Hogstrand C, Hoogenboom LR, Nebbia CS, Oswald IP, Petersen A, Rose M, Roudot AC, Schwerdtle T, Vleminckx C, Vollmer G, Wallace H, De Saeger S, Eriksen GS, Farmer P, Fremy JM, Gong YY, Meyer K, Naegeli H, Parent-Massin D, van Egmond H, Altieri A, Colombo P, Eskola M, van Manen M, Edler L.","EFSA J. 2018 Mar 2;16(3):e05082. doi: 10.2903/j.efsa.2018.5082. eCollection 2018 Mar.","EFSA Panel on Contaminants in the Food Chain (CONTAM)","EFSA J","2018","2020/07/07","PMC7009678","","10.2903/j.efsa.2018.5082"
"32626015","Risk to human and animal health related to the presence of 4,15-diacetoxyscirpenol in food and feed","EFSA Panel on Contaminants in the Food Chain (CONTAM); Knutsen HK, Alexander J, Barregård L, Bignami M, Brüschweiler B, Ceccatelli S, Cottrill B, Dinovi M, Grasl-Kraupp B, Hogstrand C, Hoogenboom LR, Nebbia CS, Oswald IP, Petersen A, Rose M, Roudot AC, Schwerdtle T, Vleminckx C, Vollmer G, Wallace H, De Saeger S, Eriksen GS, Farmer P, Fremy JM, Gong YY, Meyer K, Parent-Massin D, van Egmond H, Altieri A, Colombo P, Horváth Z, Levorato S, Edler L.","EFSA J. 2018 Aug 16;16(8):e05367. doi: 10.2903/j.efsa.2018.5367. eCollection 2018 Aug.","EFSA Panel on Contaminants in the Food Chain (CONTAM)","EFSA J","2018","2020/07/07","PMC7009455","","10.2903/j.efsa.2018.5367"
"32626449","Advancing human health risk assessment","Lanzoni A, Castoldi AF, Kass GE, Terron A, De Seze G, Bal-Price A, Bois FY, Delclos KB, Doerge DR, Fritsche E, Halldorsson T, Kolossa-Gehring M, Hougaard Bennekou S, Koning F, Lampen A, Leist M, Mantus E, Rousselle C, Siegrist M, Steinberg P, Tritscher A, Van de Water B, Vineis P, Walker N, Wallace H, Whelan M, Younes M.","EFSA J. 2019 Jul 8;17(Suppl 1):e170712. doi: 10.2903/j.efsa.2019.e170712. eCollection 2019 Jul.","Lanzoni A","EFSA J","2019","2020/07/07","PMC7015480","","10.2903/j.efsa.2019.e170712"
"32626157","Killing for purposes other than slaughter: poultry","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Depner K, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Miranda Chueca MÁ, Roberts HC, Sihvonen LH, Spoolder H, Stahl K, Velarde Calvo A, Viltrop A, Winckler C, Candiani D, Fabris C, Van der Stede Y, Michel V.","EFSA J. 2019 Nov 13;17(11):e05850. doi: 10.2903/j.efsa.2019.5850. eCollection 2019 Nov.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2019","2020/07/07","PMC7008794","","10.2903/j.efsa.2019.5850"
"36092767","Welfare of domestic birds and rabbits transported in containers","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Herskin M, Michel V, Miranda Chueca MÁ, Padalino B, Roberts HC, Spoolder H, Stahl K, Viltrop A, Winckler C, Mitchell M, Vinco LJ, Voslarova E, Candiani D, Mosbach-Schulz O, Van der Stede Y, Velarde A.","EFSA J. 2022 Sep 7;20(9):e07441. doi: 10.2903/j.efsa.2022.7441. eCollection 2022 Sep.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2022","2022/09/12","PMC9449994","","10.2903/j.efsa.2022.7441"
"37200855","Welfare of ducks, geese and quail on farm","EFSA Panel on Animal Health and Animal Welfare (AHAW Panel); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Schmidt CG, Herskin M, Michel V, Miranda Chueca MÁ, Padalino B, Roberts HC, Spoolder H, Stahl K, Viltrop A, Winckler C, Berg C, Edwards S, Knierim U, Riber A, Salamon A, Tiemann I, Fabris C, Manakidou A, Mosbach-Schulz O, Van der Stede Y, Vitali M, Velarde A.","EFSA J. 2023 May 16;21(5):e07992. doi: 10.2903/j.efsa.2023.7992. eCollection 2023 May.","EFSA Panel on Animal Health and Animal Welfare (AHAW Panel)","EFSA J","2023","2023/05/18","PMC10186070","","10.2903/j.efsa.2023.7992"
"33294050","Livestock Health and Food Chain Risk Assessment","Animal and Plant Health Agency (APHA), Biomathematics and Risk Research workgroup, United Kingdom; Martínez JM, McCarthy C, Taylor RA.","EFSA J. 2020 Nov 27;18(Suppl 1):e181111. doi: 10.2903/j.efsa.2020.e181111. eCollection 2020 Nov.","Animal and Plant Health Agency (APHA), Biomathematics and Risk Research workgroup, United Kingdom","EFSA J","2020","2020/12/09","PMC7691983","","10.2903/j.efsa.2020.e181111"
"38047126","Unveiling the potential of proteomics in addressing food and feed safety challenges","Perkons I, Varunjikar MS, Rasinger JD.","EFSA J. 2023 Nov 30;21(Suppl 1):e211013. doi: 10.2903/j.efsa.2023.e211013. eCollection 2023 Nov.","Perkons I","EFSA J","2023","2023/12/04","PMC10687763","","10.2903/j.efsa.2023.e211013"
"32625539","Risks for animal health related to the presence of zearalenone and its modified forms in feed","EFSA Panel on Contaminants in the Food Chain (CONTAM); Knutsen HK, Alexander J, Barregård L, Bignami M, Brüschweiler B, Ceccatelli S, Cottrill B, Dinovi M, Edler L, Grasl-Kraupp B, Hogstrand C, Hoogenboom LR, Nebbia CS, Petersen A, Rose M, Roudot AC, Schwerdtle T, Vleminckx C, Vollmer G, Wallace H, Dall'Asta C, Dänicke S, Eriksen GS, Altieri A, Roldán-Torres R, Oswald IP.","EFSA J. 2017 Jul 31;15(7):e04851. doi: 10.2903/j.efsa.2017.4851. eCollection 2017 Jul.","EFSA Panel on Contaminants in the Food Chain (CONTAM)","EFSA J","2017","2020/07/07","PMC7009830","","10.2903/j.efsa.2017.4851"
"32704316","Welfare of pigs during killing for purposes other than slaughter","EFSA Panel on Animal Health and Welfare (AHAW); Saxmose Nielsen S, Alvarez J, Bicout DJ, Calistri P, Depner K, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Michel V, Miranda Chueca MÁ, Roberts HC, Sihvonen LH, Spoolder H, Stahl K, Viltrop A, Winckler C, Candiani D, Fabris C, Van der Stede Y, Velarde A.","EFSA J. 2020 Jul 20;18(7):e06195. doi: 10.2903/j.efsa.2020.6195. eCollection 2020 Jul.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2020","2020/07/25","PMC7372489","","10.2903/j.efsa.2020.6195"
"32313573","Drivers for emerging issues in animal and plant health","Richardson J, Lockhart C, Pongolini S, Karesh WB, Baylis M, Goldberg T, Slingenbergh J, Gale P, Venturini T, Catchpole M, de Balogh K, Pautasso M, Broglia A, Berthe F, Schans J, Poppy G.","EFSA J. 2016 Jun 30;14(Suppl 1):e00512. doi: 10.2903/j.efsa.2016.s0512. eCollection 2016 Jun.","Richardson J","EFSA J","2016","2020/04/22","PMC7163467","","10.2903/j.efsa.2016.s0512"
"36304831","Transmission of antimicrobial resistance (AMR) during animal transport","EFSA Panel on Biological Hazards (BIOHAZ); Koutsoumanis K, Allende A, Álvarez-Ordóñez A, Bolton D, Bover-Cid S, Chemaly M, Davies R, De Cesare A, Herman L, Hilbert F, Lindqvist R, Nauta M, Ru G, Simmons M, Skandamis P, Suffredini E, Argüello-Rodríguez H, Dohmen W, Magistrali CF, Padalino B, Tenhagen BA, Threlfall J, García-Fierro R, Guerra B, Liébana E, Stella P, Peixe L.","EFSA J. 2022 Oct 25;20(10):e07586. doi: 10.2903/j.efsa.2022.7586. eCollection 2022 Oct.","EFSA Panel on Biological Hazards (BIOHAZ)","EFSA J","2022","2022/10/28","PMC9593722","","10.2903/j.efsa.2022.7586"
"33717355","Monitoring of SARS-CoV-2 infection in mustelids","European Food Safety Authority and European Centre for Disease Prevention and Control; Boklund A, Gortázar C, Pasquali P, Roberts H, Nielsen SS, Stahl K, Stegeman A, Baldinelli F, Broglia A, Van Der Stede Y, Adlhoch C, Alm E, Melidou A, Mirinaviciute G.","EFSA J. 2021 Mar 3;19(3):e06459. doi: 10.2903/j.efsa.2021.6459. eCollection 2021 Mar.","European Food Safety Authority and European Centre for Disease Prevention and Control","EFSA J","2021","2021/03/15","PMC7926496","","10.2903/j.efsa.2021.6459"
"34377190","Guidance on risk assessment of nanomaterials to be applied in the food and feed chain: human and animal health","EFSA Scientific Committee; More S, Bampidis V, Benford D, Bragard C, Halldorsson T, Hernández-Jerez A, Hougaard Bennekou S, Koutsoumanis K, Lambré C, Machera K, Naegeli H, Nielsen S, Schlatter J, Schrenk D, Silano Deceased V, Turck D, Younes M, Castenmiller J, Chaudhry Q, Cubadda F, Franz R, Gott D, Mast J, Mortensen A, Oomen AG, Weigel S, Barthelemy E, Rincon A, Tarazona J, Schoonjans R.","EFSA J. 2021 Aug 3;19(8):e06768. doi: 10.2903/j.efsa.2021.6768. eCollection 2021 Aug.","EFSA Scientific Committee","EFSA J","2021","2021/08/11","PMC8331059","","10.2903/j.efsa.2021.6768"
"37942224","Risks for animal health related to the presence of ochratoxin A (OTA) in feed","EFSA Panel on Contaminants in the Food Chain (CONTAM); Schrenk D, Bignami M, Bodin L, Chipman JK, Del Mazo J, Grasl-Kraupp B, Hogstrand C, Hoogenboom LR, Leblanc JC, Nielsen E, Ntzani E, Sand S, Schwerdtle T, Vleminckx C, Wallace H, Gropp J, Antonissen G, Rychen G, Gómez Ruiz JÁ, Innocenti ML, Rovesti E, Petersen A.","EFSA J. 2023 Nov 7;21(11):e08375. doi: 10.2903/j.efsa.2023.8375. eCollection 2023 Nov.","EFSA Panel on Contaminants in the Food Chain (CONTAM)","EFSA J","2023","2023/11/09","PMC10628734","","10.2903/j.efsa.2023.8375"
"32625781","Public health risks associated with food-borne parasites","EFSA Panel on Biological Hazards (BIOHAZ); Koutsoumanis K, Allende A, Alvarez-Ordóñez A, Bolton D, Bover-Cid S, Chemaly M, Davies R, De Cesare A, Herman L, Hilbert F, Lindqvist R, Nauta M, Peixe L, Ru G, Simmons M, Skandamis P, Suffredini E, Cacciò S, Chalmers R, Deplazes P, Devleesschauwer B, Innes E, Romig T, van der Giessen J, Hempen M, Van der Stede Y, Robertson L.","EFSA J. 2018 Dec 4;16(12):e05495. doi: 10.2903/j.efsa.2018.5495. eCollection 2018 Dec.","EFSA Panel on Biological Hazards (BIOHAZ)","EFSA J","2018","2020/07/07","PMC7009631","","10.2903/j.efsa.2018.5495"
"35958102","Safety and efficacy of a feed additive consisting of Solanum glaucophyllum leaf extract for dairy cows and other dairy ruminants (Herbonis Animal Health Gmbh)","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP); Bampidis V, Azimonti G, Bastos ML, Christensen H, Dusemund B, Fašmon Durjava M, Kouba M, López-Alonso M, López Puente S, Marcon F, Mayo B, Pechová A, Petkova M, Ramos F, Sanz Y, Villa RE, Woutersen R, Brantom P, Gropp J, Svensson K, Anguita M, Galobart J, Pizzo F, Manini P.","EFSA J. 2022 Aug 10;20(8):e07434. doi: 10.2903/j.efsa.2022.7434. eCollection 2022 Aug.","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP)","EFSA J","2022","2022/08/12","PMC9364150","","10.2903/j.efsa.2022.7434"
"35949939","Safety and efficacy of a feed additive consisting of locust bean gum for all animal species (Dupont Nutrition and Health)","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP); Bampidis V, Azimonti G, Bastos ML, Christensen H, Dusemund B, Durjava MF, Kouba M, López-Alonso M, López Puente S, Marcon F, Mayo B, Pechová A, Petkova M, Ramos F, Sanz Y, Villa RE, Woutersen R, Brantom P, Brozzi R, Galobart J, Innocenti ML, Vettori MV, Amaduzzi A.","EFSA J. 2022 Aug 5;20(8):e07435. doi: 10.2903/j.efsa.2022.7435. eCollection 2022 Aug.","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP)","EFSA J","2022","2022/08/11","PMC9354589","","10.2903/j.efsa.2022.7435"
"35958104","Assessment of the control measures of the Category A diseases of the Animal Health Law: prohibitions in restricted zones and risk-mitigating treatments for products of animal origin and other materials","EFSA Panel on Animal Health and Welfare (EFSA AHAW Panel); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Herskin M, Michel V, Miranda Chueca MÁ, Padalino B, Pasquali P, Stahl K, Calvo AV, Viltrop A, Winckler C, De Clercq K, Sjunnesson Y, Gervelmeyer A, Roberts HC.","EFSA J. 2022 Aug 9;20(8):e07443. doi: 10.2903/j.efsa.2022.7443. eCollection 2022 Aug.","EFSA Panel on Animal Health and Welfare (EFSA AHAW Panel)","EFSA J","2022","2022/08/12","PMC9361132","","10.2903/j.efsa.2022.7443"
